fips,year,size
12091,2000,170966
12093,2000,35917
12095,2000,902756
12097,2000,174182
12099,2000,1135318
12101,2000,347318
12103,2000,922261
12105,2000,485378
12107,2000,70419
12109,2000,124478
12111,2000,193433
12113,2000,118387
12115,2000,327041
12117,2000,367089
12119,2000,53554
12121,2000,35024
12123,2000,19215
12125,2000,13462
12127,2000,445060
12129,2000,22989
12131,2000,40819
12133,2000,21015
13001,2000,17408
13003,2000,7610
13005,2000,10122
13007,2000,4053
13009,2000,44738
13011,2000,14504
13013,2000,46561
13015,2000,76703
13017,2000,17473
13019,2000,16250
13021,2000,153854
13023,2000,11677
13025,2000,14668
13027,2000,16457
13029,2000,23509
13031,2000,56223
13033,2000,22276
13035,2000,19737
13037,2000,6322
13039,2000,43758
13043,2000,9581
13045,2000,88009
13047,2000,53626
13049,2000,10270
13051,2000,232347
13053,2000,14990
13055,2000,25495
13057,2000,143783
13059,2000,101972
13061,2000,3366
13063,2000,238383
13065,2000,6868
13067,2000,612633
13069,2000,37566
13071,2000,42132
13073,2000,89781
13075,2000,15840
13077,2000,90148
13079,2000,12429
13081,2000,21971
13083,2000,15176
13085,2000,16304
13087,2000,28245
13089,2000,668826
13091,2000,19156
13093,2000,11495
13095,2000,95884
13097,2000,92700
13099,2000,12339
13101,2000,3794
13103,2000,37812
13105,2000,20497
13107,2000,21862
13109,2000,10564
13111,2000,19947
13113,2000,92082
13115,2000,90811
13117,2000,100467
13119,2000,20336
13121,2000,817145
13123,2000,23743
13125,2000,2562
13127,2000,67660
13129,2000,44388
13131,2000,23647
13133,2000,14451
13135,2000,596296
13137,2000,36123
13139,2000,140886
13141,2000,10056
13143,2000,25832
13145,2000,23797
13147,2000,23054
13149,2000,11085
13151,2000,121572
13153,2000,111248
13155,2000,9959
13157,2000,41895
13159,2000,11488
13161,2000,12720
13163,2000,17246
13165,2000,8594
13167,2000,8558
13169,2000,23699
13171,2000,15969
13173,2000,7252
13175,2000,44957
13177,2000,24884
13179,2000,61448
13181,2000,8351
13183,2000,10354
13185,2000,92238
13187,2000,21159
13189,2000,21251
13191,2000,10898
13193,2000,14035
13195,2000,25856
13197,2000,7180
13199,2000,22527
13201,2000,6369
13205,2000,23984
13207,2000,21834
13209,2000,8267
13211,2000,15514
13213,2000,36774
13215,2000,186505
13217,2000,62883
13219,2000,26368
13221,2000,12707
13223,2000,83004
13225,2000,23833
13227,2000,23359
13229,2000,15697
13231,2000,13798
13233,2000,38258
13235,2000,9579
13237,2000,18859
13239,2000,2603
13241,2000,15085
13243,2000,7757
13245,2000,199663
13247,2000,70566
13249,2000,3783
13251,2000,15370
13253,2000,9361
13255,2000,58486
13257,2000,25476
13259,2000,5255
13261,2000,33253
13263,2000,6535
13265,2000,2079
13267,2000,22313
13269,2000,8818
13271,2000,11797
13273,2000,10968
13275,2000,42815
13277,2000,38445
13279,2000,26106
13281,2000,9371
13283,2000,6882
13285,2000,58892
13287,2000,9501
13289,2000,10571
13291,2000,17404
13293,2000,27617
13295,2000,61114
13297,2000,61559
13299,2000,35439
13301,2000,6296
13303,2000,21160
13305,2000,26591
13307,2000,2377
13309,2000,6183
13311,2000,20127
13313,2000,84064
13315,2000,8574
13317,2000,10670
13319,2000,10222
13321,2000,21968
15001,2000,149095
15003,2000,875061
15007,2000,58511
15009,2000,128754
16001,2000,303174
16003,2000,3458
16005,2000,75671
16007,2000,6425
16009,2000,9193
16011,2000,41748
16013,2000,19123
16015,2000,6746
16017,2000,36999
16019,2000,82867
16021,2000,9908
16023,2000,2899
16025,2000,978
16027,2000,133053
16029,2000,7302
16031,2000,21393
16033,2000,1024
16035,2000,8886
16037,2000,4336
16039,2000,29087
16041,2000,11348
16043,2000,11788
16045,2000,15211
16047,2000,14205
16049,2000,15450
16051,2000,19214
16053,2000,18431
16055,2000,109541
16057,2000,34884
16059,2000,7735
16061,2000,3741
16063,2000,4047
16065,2000,27466
16067,2000,20091
16069,2000,37397
16071,2000,4136
16073,2000,10690
16075,2000,20634
16077,2000,7500
16079,2000,13726
16081,2000,6100
16083,2000,64341
16085,2000,7636
16087,2000,9969
17001,2000,68220
17003,2000,9584
17005,2000,17650
17007,2000,42053
17009,2000,6963
17011,2000,35473
17013,2000,5090
17015,2000,16626
17017,2000,13680
17019,2000,179931
17021,2000,35354
17023,2000,16993
17025,2000,14410
17027,2000,35536
17029,2000,53078
17031,2000,5376861
17033,2000,20398
17035,2000,11256
17037,2000,89334
17039,2000,16790
17041,2000,19925
17043,2000,906576
17045,2000,19657
17047,2000,6967
17049,2000,34260
17051,2000,21792
17053,2000,14209
17055,2000,39016
17057,2000,38240
17059,2000,6427
17061,2000,14746
17063,2000,37678
17065,2000,8604
17067,2000,20089
17069,2000,4787
17071,2000,8209
17073,2000,51049
17075,2000,31320
17077,2000,59612
17079,2000,10070
17081,2000,40053
17083,2000,21655
17085,2000,22276
17087,2000,12920
17089,2000,407511
17091,2000,103879
17093,2000,55217
17095,2000,55754
17097,2000,648116
17099,2000,111516
17101,2000,15390
17103,2000,36053
17105,2000,39651
17107,2000,31149
17109,2000,32855
17111,2000,261887
17113,2000,150897
17115,2000,114476
17117,2000,48989
17119,2000,259120
17121,2000,41687
17123,2000,13138
17125,2000,16009
17127,2000,15127
17129,2000,12493
17131,2000,16950
17133,2000,27763
17135,2000,30625
17137,2000,36617
17139,2000,14319
17141,2000,51161
17143,2000,183166
17145,2000,23061
17147,2000,16371
17149,2000,17335
17151,2000,4418
17153,2000,7324
17155,2000,6075
17157,2000,33897
17159,2000,16242
17161,2000,149143
17163,2000,256208
17165,2000,26631
17167,2000,189093
17169,2000,7189
17171,2000,5539
17173,2000,22831
17175,2000,6320
17177,2000,48882
17179,2000,128494
17181,2000,18256
17183,2000,83796
17185,2000,12903
17187,2000,18683
17189,2000,15163
17191,2000,17124
17193,2000,15328
17195,2000,60631
17197,2000,508038
17199,2000,61265
17201,2000,278989
17203,2000,35484
18001,2000,33612
18003,2000,332744
18005,2000,71737
18007,2000,9396
18009,2000,14006
18011,2000,46380
18013,2000,14987
18015,2000,20147
18017,2000,40965
18019,2000,96749
18021,2000,26563
18023,2000,33968
18025,2000,10785
18027,2000,29828
18029,2000,46344
18031,2000,24571
18033,2000,40400
18035,2000,118733
18037,2000,39700
18039,2000,183521
18041,2000,25556
18043,2000,70911
18045,2000,17917
18047,2000,22218
18049,2000,20553
18051,2000,32529
18053,2000,73286
18055,2000,33199
18057,2000,185301
18059,2000,55662
18061,2000,34514
18063,2000,105367
18065,2000,48446
18067,2000,84969
18069,2000,38099
18071,2000,41402
18073,2000,30176
18075,2000,21791
18077,2000,31728
18079,2000,27691
18081,2000,115936
18083,2000,39193
18085,2000,74222
18087,2000,34947
18089,2000,484536
18091,2000,110158
18093,2000,45925
18095,2000,133275
18097,2000,860972
18099,2000,45245
18101,2000,10359
18103,2000,36160
18105,2000,120760
18107,2000,37603
18109,2000,66885
18111,2000,14546
18113,2000,46473
18115,2000,5636
18117,2000,19320
18119,2000,21872
18121,2000,17217
18123,2000,18880
18125,2000,12815
18127,2000,147164
18129,2000,27064
18131,2000,13739
18133,2000,36112
18135,2000,27375
18137,2000,26645
18139,2000,18206
18141,2000,265859
18143,2000,23034
18145,2000,43554
18147,2000,20414
18149,2000,23523
18151,2000,33316
18153,2000,21742
18155,2000,9094
18157,2000,149301
18159,2000,16559
18161,2000,7340
18163,2000,171953
18165,2000,16770
18167,2000,105738
18169,2000,34977
18171,2000,8442
18173,2000,52517
18175,2000,27262
18177,2000,71017
18179,2000,27600
18181,2000,25224
18183,2000,30722
19001,2000,8208
19003,2000,4475
19005,2000,14671
19007,2000,13701
19009,2000,6807
19011,2000,25338
19013,2000,128024
19015,2000,26247
19017,2000,23282
19019,2000,21079
19021,2000,20352
19023,2000,15290
19025,2000,11089
