STNAME,CTYNAME,STCODE,CTYCODE,year,cases
Arkansas,Crawford County,5,33,Cases2000,0
Arkansas,Crittenden County,5,35,Cases2000,0
Arkansas,Cross County,5,37,Cases2000,0
Arkansas,Dallas County,5,39,Cases2000,0
Arkansas,Desha County,5,41,Cases2000,0
Arkansas,Drew County,5,43,Cases2000,0
Arkansas,Faulkner County,5,45,Cases2000,0
Arkansas,Franklin County,5,47,Cases2000,0
Arkansas,Fulton County,5,49,Cases2000,0
Arkansas,Garland County,5,51,Cases2000,2
Arkansas,Grant County,5,53,Cases2000,0
Arkansas,Greene County,5,55,Cases2000,0
Arkansas,Hempstead County,5,57,Cases2000,0
Arkansas,Hot Spring County,5,59,Cases2000,0
Arkansas,Howard County,5,61,Cases2000,0
Arkansas,Independence County,5,63,Cases2000,0
Arkansas,Izard County,5,65,Cases2000,0
Arkansas,Jackson County,5,67,Cases2000,0
Arkansas,Jefferson County,5,69,Cases2000,0
Arkansas,Johnson County,5,71,Cases2000,0
Arkansas,Lafayette County,5,73,Cases2000,0
Arkansas,Lawrence County,5,75,Cases2000,0
Arkansas,Lee County,5,77,Cases2000,0
Arkansas,Lincoln County,5,79,Cases2000,0
Arkansas,Little River County,5,81,Cases2000,0
Arkansas,Logan County,5,83,Cases2000,0
Arkansas,Lonoke County,5,85,Cases2000,0
Arkansas,Madison County,5,87,Cases2000,0
Arkansas,Marion County,5,89,Cases2000,0
Arkansas,Miller County,5,91,Cases2000,1
Arkansas,Mississippi County,5,93,Cases2000,0
Arkansas,Monroe County,5,95,Cases2000,0
Arkansas,Montgomery County,5,97,Cases2000,0
Arkansas,Nevada County,5,99,Cases2000,0
Arkansas,Newton County,5,101,Cases2000,1
Arkansas,Ouachita County,5,103,Cases2000,0
Arkansas,Perry County,5,105,Cases2000,0
Arkansas,Phillips County,5,107,Cases2000,0
Arkansas,Pike County,5,109,Cases2000,0
Arkansas,Poinsett County,5,111,Cases2000,0
Arkansas,Polk County,5,113,Cases2000,0
Arkansas,Pope County,5,115,Cases2000,0
Arkansas,Prairie County,5,117,Cases2000,0
Arkansas,Pulaski County,5,119,Cases2000,0
Arkansas,Randolph County,5,121,Cases2000,0
Arkansas,St. Francis County,5,123,Cases2000,0
Arkansas,Saline County,5,125,Cases2000,1
Arkansas,Scott County,5,127,Cases2000,0
Arkansas,Searcy County,5,129,Cases2000,0
Arkansas,Sebastian County,5,131,Cases2000,0
Arkansas,Sevier County,5,133,Cases2000,0
Arkansas,Sharp County,5,135,Cases2000,0
Arkansas,Stone County,5,137,Cases2000,0
Arkansas,Union County,5,139,Cases2000,0
Arkansas,Van Buren County,5,141,Cases2000,0
Arkansas,Washington County,5,143,Cases2000,0
Arkansas,White County,5,145,Cases2000,1
Arkansas,Woodruff County,5,147,Cases2000,0
Arkansas,Yell County,5,149,Cases2000,0
Arkansas,Arkansas,5,999,Cases2000,0
California,Alameda County,6,1,Cases2000,4
California,Alpine County,6,3,Cases2000,0
California,Amador County,6,5,Cases2000,0
California,Butte County,6,7,Cases2000,3
California,Calaveras County,6,9,Cases2000,1
California,Colusa County,6,11,Cases2000,0
California,Contra Costa County,6,13,Cases2000,1
California,Del Norte County,6,15,Cases2000,0
California,El Dorado County,6,17,Cases2000,0
California,Fresno County,6,19,Cases2000,1
California,Glenn County,6,21,Cases2000,1
California,Humboldt County,6,23,Cases2000,10
California,Imperial County,6,25,Cases2000,0
California,Inyo County,6,27,Cases2000,0
California,Kern County,6,29,Cases2000,2
California,Kings County,6,31,Cases2000,0
California,Lake County,6,33,Cases2000,0
California,Lassen County,6,35,Cases2000,0
California,Los Angeles County,6,37,Cases2000,2
California,Madera County,6,39,Cases2000,0
California,Marin County,6,41,Cases2000,3
California,Mariposa County,6,43,Cases2000,0
California,Mendocino County,6,45,Cases2000,7
California,Merced County,6,47,Cases2000,1
California,Modoc County,6,49,Cases2000,0
California,Mono County,6,51,Cases2000,0
California,Monterey County,6,53,Cases2000,1
California,Napa County,6,55,Cases2000,2
California,Nevada County,6,57,Cases2000,9
California,Orange County,6,59,Cases2000,3
California,Placer County,6,61,Cases2000,1
California,Plumas County,6,63,Cases2000,0
California,Riverside County,6,65,Cases2000,3
California,Sacramento County,6,67,Cases2000,3
California,San Benito County,6,69,Cases2000,0
California,San Bernardino County,6,71,Cases2000,1
California,San Diego County,6,73,Cases2000,9
California,San Francisco County,6,75,Cases2000,2
California,San Joaquin County,6,77,Cases2000,0
California,San Luis Obispo County,6,79,Cases2000,1
California,San Mateo County,6,81,Cases2000,2
California,Santa Barbara County,6,83,Cases2000,0
California,Santa Clara County,6,85,Cases2000,2
California,Santa Cruz County,6,87,Cases2000,5
California,Shasta County,6,89,Cases2000,0
California,Sierra County,6,91,Cases2000,0
California,Siskiyou County,6,93,Cases2000,0
California,Solano County,6,95,Cases2000,1
California,Sonoma County,6,97,Cases2000,8
California,Stanislaus County,6,99,Cases2000,1
California,Sutter County,6,101,Cases2000,1
California,Tehama County,6,103,Cases2000,2
California,Trinity County,6,105,Cases2000,1
California,Tulare County,6,107,Cases2000,0
California,Tuolumne County,6,109,Cases2000,0
California,Ventura County,6,111,Cases2000,2
California,Yolo County,6,113,Cases2000,0
California,Yuba County,6,115,Cases2000,0
California,California,6,999,Cases2000,0
Colorado,Adams County,8,1,Cases2000,0
Colorado,Alamosa County,8,3,Cases2000,0
Colorado,Arapahoe County,8,5,Cases2000,0
Colorado,Archuleta County,8,7,Cases2000,0
Colorado,Baca County,8,9,Cases2000,0
Colorado,Bent County,8,11,Cases2000,0
Colorado,Boulder County,8,13,Cases2000,0
Colorado,Broomfield County,8,14,Cases2000,0
Colorado,Chaffee County,8,15,Cases2000,0
Colorado,Cheyenne County,8,17,Cases2000,0
Colorado,Clear Creek County,8,19,Cases2000,0
Colorado,Conejos County,8,21,Cases2000,0
Colorado,Costilla County,8,23,Cases2000,0
Colorado,Crowley County,8,25,Cases2000,0
Colorado,Custer County,8,27,Cases2000,0
Colorado,Delta County,8,29,Cases2000,0
Colorado,Denver County,8,31,Cases2000,0
Colorado,Dolores County,8,33,Cases2000,0
Colorado,Douglas County,8,35,Cases2000,0
Colorado,Eagle County,8,37,Cases2000,0
Colorado,Elbert County,8,39,Cases2000,0
Colorado,El Paso County,8,41,Cases2000,0
Colorado,Fremont County,8,43,Cases2000,0
Colorado,Garfield County,8,45,Cases2000,0
Colorado,Gilpin County,8,47,Cases2000,0
Colorado,Grand County,8,49,Cases2000,0
Colorado,Gunnison County,8,51,Cases2000,0
Colorado,Hinsdale County,8,53,Cases2000,0
Colorado,Huerfano County,8,55,Cases2000,0
Colorado,Jackson County,8,57,Cases2000,0
Colorado,Jefferson County,8,59,Cases2000,0
Colorado,Kiowa County,8,61,Cases2000,0
Colorado,Kit Carson County,8,63,Cases2000,0
Colorado,Lake County,8,65,Cases2000,0
Colorado,La Plata County,8,67,Cases2000,0
Colorado,Larimer County,8,69,Cases2000,0
Colorado,Las Animas County,8,71,Cases2000,0
Colorado,Lincoln County,8,73,Cases2000,0
Colorado,Logan County,8,75,Cases2000,0
Colorado,Mesa County,8,77,Cases2000,0
Colorado,Mineral County,8,79,Cases2000,0
Colorado,Moffat County,8,81,Cases2000,0
Colorado,Montezuma County,8,83,Cases2000,0
Colorado,Montrose County,8,85,Cases2000,0
Colorado,Morgan County,8,87,Cases2000,0
Colorado,Otero County,8,89,Cases2000,0
Colorado,Ouray County,8,91,Cases2000,0
Colorado,Park County,8,93,Cases2000,0
Colorado,Phillips County,8,95,Cases2000,0
Colorado,Pitkin County,8,97,Cases2000,0
Colorado,Prowers County,8,99,Cases2000,0
Colorado,Pueblo County,8,101,Cases2000,0
Colorado,Rio Blanco County,8,103,Cases2000,0
Colorado,Rio Grande County,8,105,Cases2000,0
Colorado,Routt County,8,107,Cases2000,0
Colorado,Saguache County,8,109,Cases2000,0
Colorado,San Juan County,8,111,Cases2000,0
Colorado,San Miguel County,8,113,Cases2000,0
Colorado,Sedgwick County,8,115,Cases2000,0
Colorado,Summit County,8,117,Cases2000,0
Colorado,Teller County,8,119,Cases2000,0
Colorado,Washington County,8,121,Cases2000,0
Colorado,Weld County,8,123,Cases2000,0
Colorado,Yuma County,8,125,Cases2000,0
Colorado,Colorado,8,999,Cases2000,0
Connecticut,Fairfield County,9,1,Cases2000,1342
Connecticut,Hartford County,9,3,Cases2000,231
Connecticut,Litchfield County,9,5,Cases2000,457
Connecticut,Middlesex County,9,7,Cases2000,191
