fips,year,size
08111,pop2000,559
08113,pop2000,6616
08115,pop2000,2743
08117,pop2000,23701
08119,pop2000,20648
08121,pop2000,4942
08123,pop2000,183045
08125,pop2000,9815
09001,pop2000,884420
09003,pop2000,858422
09005,pop2000,182628
09007,pop2000,155633
09009,pop2000,824992
09011,pop2000,259575
09013,pop2000,136860
09015,pop2000,109196
10001,pop2000,127109
10003,pop2000,501913
10005,pop2000,157389
11001,pop2000,571744
12001,pop2000,218602
12003,pop2000,22373
12005,pop2000,148258
12007,pop2000,26078
12009,pop2000,477735
12011,pop2000,1631723
12013,pop2000,13040
12015,pop2000,142246
12017,pop2000,118639
12019,pop2000,141621
12021,pop2000,254070
12023,pop2000,56726
12027,pop2000,32262
12029,pop2000,13817
12031,pop2000,779803
12033,pop2000,294784
12035,pop2000,50560
12037,pop2000,9841
12039,pop2000,45067
12041,pop2000,14540
12043,pop2000,10585
12045,pop2000,14587
12047,pop2000,13325
12049,pop2000,26911
12051,pop2000,36326
12053,pop2000,131425
12055,pop2000,87407
12057,pop2000,1003269
12059,pop2000,18535
12061,pop2000,113387
12063,pop2000,46754
12065,pop2000,12906
12067,pop2000,7038
12069,pop2000,212808
12071,pop2000,443916
12073,pop2000,240410
12075,pop2000,34617
12077,pop2000,6996
12079,pop2000,18746
12081,pop2000,265662
12083,pop2000,260285
12085,pop2000,127160
12087,pop2000,79483
12089,pop2000,57949
12091,pop2000,170966
12093,pop2000,35917
12095,pop2000,902756
12097,pop2000,174182
12099,pop2000,1135318
12101,pop2000,347318
12103,pop2000,922261
12105,pop2000,485378
12107,pop2000,70419
12109,pop2000,124478
12111,pop2000,193433
12113,pop2000,118387
12115,pop2000,327041
12117,pop2000,367089
12119,pop2000,53554
12121,pop2000,35024
12123,pop2000,19215
12125,pop2000,13462
12127,pop2000,445060
12129,pop2000,22989
12131,pop2000,40819
12133,pop2000,21015
13001,pop2000,17408
13003,pop2000,7610
13005,pop2000,10122
13007,pop2000,4053
13009,pop2000,44738
13011,pop2000,14504
13013,pop2000,46561
13015,pop2000,76703
13017,pop2000,17473
13019,pop2000,16250
13021,pop2000,153854
13023,pop2000,11677
13025,pop2000,14668
13027,pop2000,16457
13029,pop2000,23509
13031,pop2000,56223
13033,pop2000,22276
13035,pop2000,19737
13037,pop2000,6322
13039,pop2000,43758
13043,pop2000,9581
13045,pop2000,88009
13047,pop2000,53626
13049,pop2000,10270
13051,pop2000,232347
13053,pop2000,14990
13055,pop2000,25495
13057,pop2000,143783
13059,pop2000,101972
13061,pop2000,3366
13063,pop2000,238383
13065,pop2000,6868
13067,pop2000,612633
13069,pop2000,37566
13071,pop2000,42132
13073,pop2000,89781
13075,pop2000,15840
13077,pop2000,90148
13079,pop2000,12429
13081,pop2000,21971
13083,pop2000,15176
13085,pop2000,16304
13087,pop2000,28245
13089,pop2000,668826
13091,pop2000,19156
13093,pop2000,11495
13095,pop2000,95884
13097,pop2000,92700
13099,pop2000,12339
13101,pop2000,3794
13103,pop2000,37812
13105,pop2000,20497
13107,pop2000,21862
13109,pop2000,10564
13111,pop2000,19947
13113,pop2000,92082
13115,pop2000,90811
13117,pop2000,100467
13119,pop2000,20336
13121,pop2000,817145
13123,pop2000,23743
13125,pop2000,2562
13127,pop2000,67660
13129,pop2000,44388
13131,pop2000,23647
13133,pop2000,14451
13135,pop2000,596296
13137,pop2000,36123
13139,pop2000,140886
13141,pop2000,10056
13143,pop2000,25832
13145,pop2000,23797
13147,pop2000,23054
13149,pop2000,11085
13151,pop2000,121572
13153,pop2000,111248
13155,pop2000,9959
13157,pop2000,41895
13159,pop2000,11488
13161,pop2000,12720
13163,pop2000,17246
13165,pop2000,8594
13167,pop2000,8558
13169,pop2000,23699
13171,pop2000,15969
13173,pop2000,7252
13175,pop2000,44957
13177,pop2000,24884
13179,pop2000,61448
13181,pop2000,8351
13183,pop2000,10354
13185,pop2000,92238
13187,pop2000,21159
13189,pop2000,21251
13191,pop2000,10898
13193,pop2000,14035
13195,pop2000,25856
13197,pop2000,7180
13199,pop2000,22527
13201,pop2000,6369
13205,pop2000,23984
13207,pop2000,21834
13209,pop2000,8267
13211,pop2000,15514
13213,pop2000,36774
13215,pop2000,186505
