fips,state_fips,county_fips,areaname,state_name,county_name,fipsst,fipsco,region,division,pop1970,pop1971,pop1972,pop1973,pop1974,pop1975,pop1976,pop1977,pop1978,pop1979,pop1980,pop1981,pop1982,pop1983,pop1984,pop1985,pop1986,pop1987,pop1988,pop1989,pop1990,pop1991,pop1992,pop1993,pop1994,pop1995,pop1996,pop1997,pop1998,pop1999,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop19904,pop20104,base20104,pop2010,pop2011,pop2012,pop2013,pop2014
13199,13,199,Meriwether County,Georgia,Meriwether County,13,199,3,5,19461,20100,20200,20200,20300,20400,20700,20900,20700,21000,21229,21317,21277,21433,21451,21414,21407,21758,21948,22198,22461,22635,22689,22848,22937,22927,22790,22902,23078,23043,22527,22589,22864,22740,22806,22814,22976,22788,22931,22783,22411,NA,NA,NA,NA,NA,NA,NA
13199,13,13199,"Meriwether County, Georgia",Georgia,Meriwether County,13,13199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21992,21992,21843,21606,21316,21207,21198
13201,13,13201,"Miller County, Georgia",Georgia,Miller County,13,13201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6125,6129,6155,6074,5982,5917,5958
13201,13,201,Miller County,Georgia,Miller County,13,201,3,5,6424,6300,6200,6500,6500,6500,6500,6600,6700,6800,7038,6982,6915,6850,6676,6641,6634,6635,6585,6390,6271,6291,6286,6258,6250,6221,6222,6336,6360,6318,6369,6383,6350,6238,6137,6092,6131,6164,6214,6228,6280,NA,NA,NA,NA,NA,NA,NA
13205,13,13205,"Mitchell County, Georgia",Georgia,Mitchell County,13,13205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23498,23498,23509,23445,23121,23027,22771
13205,13,205,Mitchell County,Georgia,Mitchell County,13,205,3,5,18956,19000,19000,19800,20400,19700,19700,19900,20200,20800,21114,21259,21258,21327,21292,21185,21184,20963,20710,20476,20286,20310,20544,20472,20574,20743,21019,21080,21198,21219,23984,23922,23764,23665,23590,23464,23700,24086,23989,23800,20275,NA,NA,NA,NA,NA,NA,NA
13207,13,207,Monroe County,Georgia,Monroe County,13,207,3,5,10991,12100,12600,12300,12700,12800,12900,13500,13700,14200,14610,14947,14865,14893,15144,15690,15892,16265,16455,16905,17179,17555,17854,18228,18540,18914,19212,19390,19625,20032,21834,22022,22602,23222,23277,23607,24325,25069,25215,25425,17113,NA,NA,NA,NA,NA,NA,NA
13207,13,13207,"Monroe County, Georgia",Georgia,Monroe County,13,13207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26424,26461,26469,26673,26741,27005,27051
13209,13,13209,"Montgomery County, Georgia",Georgia,Montgomery County,13,13209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9123,9123,9088,9039,8909,8973,8991
13209,13,209,Montgomery County,Georgia,Montgomery County,13,209,3,5,6099,6100,6100,6400,6700,6800,6900,7100,7200,7200,7011,7026,7011,7154,7262,7310,7305,7282,7249,7134,7394,7442,7509,7608,7662,7607,7648,7749,7725,7854,8267,8511,8507,8756,8956,8868,9010,8986,8900,8930,7379,NA,NA,NA,NA,NA,NA,NA
13211,13,13211,"Morgan County, Georgia",Georgia,Morgan County,13,13211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17868,17868,17895,17906,17823,17752,17956
13211,13,211,Morgan County,Georgia,Morgan County,13,211,3,5,9904,10300,10400,10900,11000,11100,11200,10900,10900,11200,11572,11880,11995,12050,12153,12250,12363,12595,12744,12823,12946,13075,13264,13566,13710,14011,14162,14513,15092,15437,15514,16002,16373,16602,16890,17279,17774,18185,18600,18761,12883,NA,NA,NA,NA,NA,NA,NA
13213,13,13213,"Murray County, Georgia",Georgia,Murray County,13,13213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39628,39628,39548,39428,39394,39298,39410
13213,13,213,Murray County,Georgia,Murray County,13,213,3,5,12986,13700,14500,15700,16700,16900,17300,17900,18600,19200,19685,20161,20856,21131,21621,22188,22905,23780,24674,25629,26313,27098,27694,28248,28917,29905,30815,31888,32714,33922,36774,37792,38362,39252,39803,40123,40664,40729,40540,40621,26147,NA,NA,NA,NA,NA,NA,NA
13215,13,215,Muscogee County,Georgia,Muscogee County,13,215,3,5,167377,170700,169100,158400,163400,165800,168400,168800,169200,169900,170108,172032,174633,174223,175088,176442,178081,179219,177723,178198,179727,179607,185801,185749,186447,183915,182397,182747,182414,182058,186505,186609,185894,182788,186691,188485,191528,186613,186646,190414,179280,NA,NA,NA,NA,NA,NA,NA
13215,13,13215,"Muscogee County, Georgia",Georgia,Muscogee County,13,13215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189885,190545,191082,195272,200041,203952,200887
